cityid;cityid_new;pop;pop_log
85964;1204;1177;3.070776
85965;1783;618;2.790988
85966;1454;896;2.952308
85967;1785;616;2.789581
85968;2118;400;2.60206
85969;1604;751;2.87564
85970;1233;1138;3.056142
85971;1614;739;2.868644
85972;1322;1035;3.01494
85973;1750;642;2.807535
85974;2000;473;2.674861
85979;1789;615;2.788875
85980;2186;363;2.559907
86162;2011;464;2.666518
86163;2548;59;1.770852
86164;1574;783;2.893762
86165;1231;1138;3.056142
86166;2036;447;2.650307
86167;1145;1243;3.094471
86168;1585;771;2.887054
86169;1909;526;2.720986
86170;2317;279;2.445604
86172;451;3095;3.490661
86173;2312;284;2.453318
86174;1990;480;2.681241
86175;2250;320;2.50515
86176;1658;706;2.848805
86177;1303;1048;3.020361
86190;2301;291;2.463893
86191;2291;297;2.472756
86192;1993;479;2.680336
86193;1878;548;2.73878
86194;1907;527;2.721811
86195;2480;157;2.1959
86196;1994;477;2.678518
86197;1915;523;2.718502
86362;1986;483;2.683947
86363;1324;1033;3.0141
86364;998;1515;3.180413
86365;2335;271;2.432969
86366;2464;177;2.247973
86371;2050;439;2.642465
86562;2199;352;2.546543
86563;1128;1281;3.107549
86564;681;2121;3.326541
86565;1259;1099;3.040998
86566;2213;344;2.536558
86567;2483;156;2.193125
86568;1688;686;2.836324
86569;2196;354;2.549003
86762;852;1784;3.251395
86763;1635;722;2.858537
86962;2163;372;2.570543
86963;2149;383;2.583199
86964;1895;534;2.727541
86965;1902;530;2.724276
86966;1708;672;2.827369
86967;2110;404;2.606381
86968;1692;681;2.833147
86969;2397;227;2.356026
86970;2363;250;2.39794
86971;1502;841;2.924796
86972;1140;1252;3.097604
87162;1573;785;2.89487
87163;2463;177;2.247973
87164;1863;563;2.750508
87165;1247;1119;3.04883
87166;1581;776;2.889862
87167;2183;364;2.561101
87362;1710;670;2.826075
87363;2104;406;2.608526
87364;2112;403;2.605305
87365;2394;229;2.359835
87562;2369;246;2.390935
87563;1851;577;2.761176
87564;1738;649;2.812245
87565;2272;309;2.489959
87566;2395;228;2.357935
87567;1910;526;2.720986
87568;1835;586;2.767898
87569;1363;987;2.994317
87570;2074;426;2.62941
87762;1184;1202;3.079905
87763;2488;153;2.184691
87764;1569;788;2.896526
87765;1691;682;2.833784
87766;2192;356;2.55145
87767;2067;431;2.634477
87768;1655;708;2.850033
87769;1726;658;2.818226
87770;1163;1225;3.088136
87772;1707;673;2.828015
87962;1987;481;2.682145
87963;1886;543;2.7348
87964;1024;1467;3.16643
87965;1856;573;2.758155
87966;1636;722;2.858537
87967;1904;530;2.724276
87968;1953;502;2.700704
88162;1344;1008;3.003461
88163;2031;452;2.655138
88164;2430;200;2.30103
88165;1392;957;2.980912
88166;1682;690;2.838849
88167;1765;632;2.800717
88168;2284;301;2.478566
88362;2221;336;2.526339
88363;2423;205;2.311754
88562;2169;370;2.568202
88762;1541;811;2.909021
88763;2270;310;2.491362
88962;1220;1157;3.063333
88963;2543;78;1.892095
88964;2517;119;2.075547
88965;1318;1038;3.016197
89162;1309;1045;3.019116
89163;1633;722;2.858537
89164;2152;379;2.578639
89166;1444;905;2.956649
89362;1964;497;2.696356
89363;1746;643;2.808211
89364;1723;660;2.819544
89562;2103;406;2.608526
89564;2195;354;2.549003
89565;2414;213;2.32838
89566;1167;1219;3.086004
89762;2180;366;2.563481
89763;1784;617;2.790285
89764;1270;1084;3.035029
89765;2083;419;2.622214
89962;1333;1019;3.008174
89963;2087;415;2.618048
90363;996;1518;3.181272
90364;1369;981;2.991669
90365;838;1808;3.257198
90366;1328;1027;3.01157
90367;1192;1192;3.076276
90562;1676;692;2.840106
90762;2212;344;2.536558
90764;1077;1366;3.135451
90765;1496;843;2.925828
90766;2276;307;2.487138
90767;2206;347;2.540329
90768;1932;510;2.70757
90963;1941;507;2.705008
90964;1844;580;2.763428
90965;1503;840;2.924279
90966;2364;250;2.39794
90967;2020;457;2.659916
91163;2294;295;2.469822
91164;2300;291;2.463893
91363;1226;1147;3.059563
91364;1526;822;2.914872
91365;2482;157;2.1959
91366;2204;348;2.541579
91563;2056;436;2.639487
91564;2531;100;2
91565;2505;131;2.117271
91566;1960;498;2.697229
91763;1654;709;2.850646
91764;2179;366;2.563481
91765;2239;326;2.513218
91766;2072;427;2.630428
91963;1346;1007;3.00303
91964;1963;497;2.696356
91965;736;2014;3.30406
92164;2530;100;2
92763;1433;915;2.961421
92764;1367;985;2.993436
92765;2273;308;2.488551
92963;2063;433;2.636488
92964;1501;842;2.925312
92965;2496;145;2.161368
92966;2342;267;2.426511
92967;2526;107;2.029384
92968;1563;793;2.899273
92969;2174;367;2.564666
92971;2354;255;2.40654
